Designator,Mid X,Mid Y,Rotation,Layer
BT1,158.56,-93.52,180.0,bottom
C1,139.24,-84.83,0.0,top
C10,186.0,-105.5,180.0,top
C11,139.0,-94.92761,180.0,top
C2,158.0,-85.5,180.0,top
C3,140.0,-86.81,0.0,top
C4,132.0,-92.0,0.0,top
C5,132.0,-97.0,0.0,top
C6,151.53,-101.39,0.0,top
C7,151.05,-106.31,0.0,top
C8,189.0,-85.0,270.0,top
C9,188.0,-105.5,0.0,top
J2,158.51,-106.0,90.0,top
LED1,121.0,-84.0,130.0,top
LED2,121.101508,-103.043383,50.0,top
LED3,196.0,-84.0,230.0,top
LED4,196.0,-103.0,310.0,top
PB1,141.185,-106.5,0.0,top
PB2,141.315,-102.5,0.0,top
Q1,186.5,-89.0,270.0,top
Q2,159.5,-88.5,270.0,top
Q3,159.5,-93.5,270.0,top
Q4,159.5,-99.0,270.0,top
R1,158.0,-84.5,180.0,top
R10,125.5,-88.5,90.0,top
R11,133.5,-87.5,90.0,top
R12,184.0,-85.0,90.0,top
R13,189.0,-86.5,90.0,top
R14,122.32,-82.0,0.0,top
R15,122.32,-83.0,0.0,top
R16,122.0,-104.5,0.0,top
R17,122.0,-105.5,0.0,top
R18,122.0,-106.5,0.0,top
R19,194.5,-83.0,180.0,top
R2,125.18,-102.5,180.0,top
R20,194.5,-82.0,180.0,top
R21,194.5,-81.0,180.0,top
R22,160.5,-91.0,0.0,top
R23,158.5,-91.0,180.0,top
R24,158.5,-96.0,180.0,top
R25,160.5,-96.0,180.0,top
R26,158.5,-101.5,180.0,top
R27,160.5,-101.5,180.0,top
R28,194.0,-106.0,180.0,top
R29,194.0,-105.0,180.0,top
R3,125.0,-104.0,180.0,top
R30,194.0,-104.0,180.0,top
R31,145.5,-100.345,90.0,top
R4,188.0,-101.5,180.0,top
R5,186.0,-101.5,0.0,top
R6,180.0,-86.0,0.0,top
R7,180.0,-85.0,180.0,top
R8,122.32,-81.0,0.0,top
R9,125.5,-86.5,270.0,top
SW1,130.0,-81.35,180.0,top
U1,149.0,-91.5,0.0,top
U10,186.5,-85.5,180.0,top
U11,151.05,-103.862578,0.0,top
U12,187.0,-103.5,0.0,top
U2,170.6,-86.6,0.0,top
U3,173.5,-102.365,270.0,top
U5,125.0,-106.0,0.0,top
U6,132.0,-103.675,0.0,top
U7,132.0,-94.5,0.0,top
U8,129.5,-87.5,90.0,top
U9,139.0,-93.42761,180.0,top
