Designator,Footprint,Quantity,Value,LCSC Part #
"3V3, 3V3_P1, BT-GND1, EINT1, INT1, PPS1, RST1, RX1, SCL1, SDA1, SFB1, TX1",TestPoint_Pad_D1.0mm,12,TestPoint,
BT1,BatteryClip_Keystone_54_D16-19mm,1,Battery,
C1,0805,1,22uF,
"C10, C11, C8, C9",0201,4,0.1uF,
C2,0201,1,1uF,
C3,0201,1,4.7uF,
"C4, C6",0201,2,2.2uF,
"C5, C7",0603,2,10uF,
J2,POGO-MAG-4P-FEM,1,POGO-4P-FEM,
"LED1, LED2, LED3, LED4",LED-SMD_4P-L3.2-W1.1_TJ-S3210SW5TCGLC2R2G-A5,4,~,
PB1,SW-SMD_L3.9-W3.0-P4.45,1,TS-1187A-B-A-B,C318884
PB2,SW-SMD_L3.9-W3.0-P4.45,1,TS-1187A-B-A-B,C115357
Q1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,8205A,C351449
"Q2, Q3, Q4",SOT-23,3,AO3400A,
"R1, R10, R11, R23, R24, R26, R31, R4, R5, R9",0201,10,10k,
R12,0201,1,1k,
R13,0201,1,100,
"R14, R15, R17, R18, R20, R21, R29, R30",0201,8,22R,
"R16, R19, R28, R8",0201,4,68R,
"R2, R3",0201,2,5.1k,
"R22, R25, R27",0201,3,100R,
"R6, R7",0201,2,22,
SW1,SW-TH_SSSS223900,1,~,
U1,XCVR_ESP32-S3-MINI-1-N8,1,ESP32-S3-MINI-1-N8,C2913206
U10,SOT-23-6,1,DW01A,
"U11, U7",TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,2,RT9080-33GJ5,C841192
U12,LGA-14L_L3.0-W2.5-P0.50-TL,1,~,C481766
U2,XCVR_SAM-M10Q-00B,1,SAM-M10Q-00B,
U3,MODULE12P-1.27-11X11.6MM,1,Wio-SX1262,
U5,Texas_DRT-3,1,TPD2EUSB30,
U6,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C_16PIN_2MD(073),C2765186
U8,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C16581
U9,DFN-8_L2.0-W2.0-P0.50-BL-EP,1,MAX17048G+T10,C2682616
